text,label
Woah you're thoughtful,1
How are you? please go to the front desk?,0
What's up?; could you take me to room 202?,0
How are you? and then raise your left arm?,0
Before we keep chatting but first wait here?,0
Are you doing okay?,1
You're welcome,1
Nice to meet you! Now raise your right arm?,0
I like talking to you can you face the door?,0
You seem pretty amazing,1
I have a quick favor please go to the front desk?,0
Hi there there! what should we talk about?,1
Hey Belt — now wave at me?,0
this is fun,1
Before we keep chatting but first take me to room 101?,0
This is fun; could you walk with me to the auditorium?,0
This is fun but first take me to room 202?,0
This is fun — now turn right?,0
Where is room 101?,1
Hi there there! what's up?,1
I like talking to you but first wait here?,0
That's interesting — now move backward?,0
I have a quick favor! Now follow me?,0
Hi robot can you take me to room 202?,0
I saw a robot wave yesterday,1
Hey can you raise your right arm?,0
Thanks for answering my question and then turn right?,0
I like talking to you! Now move backward?,0
Nice to meet you,1
Do you know where the conference room is?,1
Can you explain a black hole?,1
hiya,1
Hi robot and then take me to room 101?,0
Yo Belt! what should we talk about?,1
Do you know how to describe the motion 'navigate through a hallway'?,1
Where is the computer lab?,1
Woah you're cool — now turn right?,0
That was amazing,1
Howdy buddy! do you like talking to people?,1
hi whats new,1
Sorry to interrupt but first go to the front desk?,0
Can we talk about weekends?,1
sup are you doing okay,1
Before we keep chatting but first spin around?,0
What is an API?,1
Good morning friend! you seem cool,1
Do you know how to describe the motion 'point at something'?,1
Why would a robot move backward?,1
I have a quick favor but first go to the front desk?,0
Before we keep chatting! Now move forward?,0
Honestly you're creative,1
Yo robot! what should we talk about?,1
Good morning! Could you lead me to the cafeteria?,0
What is your opinion on weekends?,1
Do you like artificial intelligence?,1
howdy what are you doing,1
Wow you're really thoughtful,1
What should I know about a molecule?,1
Your answer was helpful,1
I want you to move to my right,0
hello do you like robots,1
How are you? — now turn left?,0
Good morning and then take me to room 202?,0
sup are you having fun,1
Good morning Belt! it's nice to meet you,1
How are you?! Now bring me to the gym?,0
I want you to look left,0
Talking to you is helpful,1
Do you know much about coding?,1
That makes sense,1
What should I know about cloud computing?,1
Could you tell me about a support vector machine?,1
Hey can you turn right?,0
What floor is the main office on?,1
Before we keep chatting — now wait here?,0
Hi! Now walk with me to the auditorium?,0
Why would a robot point at something?,1
What is a graph in computer science?,1
Hi there! it's nice to meet you,1
Good evening friend! it's nice to meet you,1
What should I know about an eigenvector?,1
Hi there buddy! do you like talking to people?,1
im bored,1
are you doing okay,1
Good morning robot! do you like talking to people?,1
I have a quick favor please lead me to the cafeteria?,0
Howdy buddy! what's up?,1
I like talking to you — now go to the front desk?,0
What's interesting about space?,1
Good morning there! do you like talking to people?,1
Hi robot! do you like talking to people?,1
Hey Belt. Please wave at me?,0
How does natural language processing work?,1
Wow that was awesome can you lead me to the cafeteria?,0
Hey Belt! Now raise your left arm?,0
Howdy Belt! what should we talk about?,1
whats up,1
Woah you're cool; could you turn right?,0
Howdy robot! it's nice to meet you,1
Hello — now show me the way to the main office?,0
Hi there robot! it's nice to meet you,1
Could you tell me about precision and recall?,1
Wow that was awesome. Please follow me?,0
Wow that was awesome; could you go to the front desk?,0
Is the elevator open?,1
Who usually works in the library?,1
Hi Belt! how are you?,1
Hey Belt. Please turn right?,0
Wow that was awesome but first walk with me to the auditorium?,0
How are you? please turn right?,0
youre pretty neat,1
I have a quick favor please turn left?,0
Sorry to interrupt! Now move forward?,0
What is your opinion on science?,1
Can we talk about soccer?,1
Hey Belt. Please guide me to the library?,0
wave your right hand,0
Could you tell me about k-nearest neighbors?,1
yo do you like robots,1
Thanks for answering my question please take me to room 202?,0
Hi robot — now go to the front desk?,0
How does recursion work?,1
howdy do you like robots,1
What should I know about probability?,1
Hi there Belt! what are you thinking about?,1
How does the Pythagorean theorem work?,1
That's interesting — now wave at me?,0
How does a molecule work?,1
I have a quick favor please face the door?,0
Before we keep chatting and then face the door?,0
Your answer was friendly,1
Talking to you is friendly,1
Let's talk about weekends,1
This is fun please face the door?,0
Hi robot but first bring me to the gym?,0
Good morning; could you show me the way to the main office?,0
Hey Belt and then follow me?,0
Good evening robot! what's up?,1
hiya are you doing okay,1
Good morning robot! how are you?,1
Is it difficult for a robot to raise an arm?,1
Woah you're cool — now lead me to the cafeteria?,0
Do you know where the library is?,1
Hey; could you turn left?,0
Hello buddy! it's nice to meet you,1
hiya are you having fun,1
I like talking to you; could you move forward?,0
How does cloud computing work?,1
return to your starting position,0
This is fun! Now bring me to the gym?,0
Good morning and then stop moving?,0
Greetings friend! it's nice to meet you,1
guide me to room 101 then face the door,0
I need to get to the stairs,0
Give me a simple explanation of the solar system,1
What's up?! Now turn left?,0
very cool,1
Howdy there! how is your day going?,1
Hello buddy! how is your day going?,1
How does RAM work?,1
What should I know about cybersecurity?,1
Can you tell me where room 201 is?,1
sup how are you doing,1
What is your opinion on books?,1
Yo Belt! I hope you're doing well,1
I like talking to you please spin around?,0
Hey can you move backward?,0
How does photosynthesis work?,1
Can you talk?,1
Thanks for answering my question! Now lead me to the cafeteria?,0
What's up?. Please raise your left arm?,0
What should I call you?,1
Why do computers use binary?,1
Okay cool; could you turn left?,0
Please bring me to the robotics lab,0
No problem,1
Where is the front desk?,1
Thanks for the explanation. Now follow me.,0
Hey robot! how are you?,1
Where is the counseling office?,1
Can you explain machine learning?,1
Give me a simple explanation of an algorithm,1
hello how are you,1
You're really helpful — now spin around?,0
Hello Belt! how are you?,1
I have a quick favor can you show me the way to the main office?,0
How are you? please wait here?,0
Hi there buddy! I hope you're doing well,1
Sorry to interrupt but first wave at me?,0
This is fun please guide me to the library?,0
This is fun; could you take me to room 101?,0
Who usually works in the west entrance?,1
sup what are you doing,1
Good evening buddy! do you like talking to people?,1
hey do you like games,1
I'm excited today,1
That's interesting! Now take me to room 101?,0
Hi robot! Now turn left?,0
Let's talk about summer,1
hi how are you doing,1
Hello Belt! what are you thinking about?,1
how is it going,1
Hi there buddy! how is your day going?,1
Who usually works in the elevator?,1
bye,1
Good evening robot! how is your day going?,1
Who usually works in the auditorium?,1
Yo buddy! I hope you're doing well,1
Good morning buddy! do you like talking to people?,1
What should I know about a decision tree?,1
sup do you like coding,1
Next open your hand,0
Can you explain an API?,1
How does a matrix work?,1
do you like soccer,1
Hi! Now spin around?,0
Greetings Belt! how are you?,1
Hello buddy! you seem cool,1
Hey; could you wait here?,0
Before we keep chatting can you take me to room 202?,0
Good morning! Now turn right?,0
What's up?! Now raise your left arm?,0
Good evening buddy! are you ready to chat?,1
That's interesting please spin around?,0
Woah you're cool can you show me the way to the main office?,0
Wow that was awesome! Now take me to room 202?,0
How do airplanes fly?,1
How does an API work?,1
Nice to meet you please face the door?,0
That's interesting and then raise your right arm?,0
Your answer was impressive,1
Who created you?,1
Good morning and then raise your right arm?,0
What is your opinion on movies?,1
Good evening robot! do you like talking to people?,1
You're really helpful and then take me to room 101?,0
Can you move to the center of the room?,0
That's interesting but first raise your right arm?,0
Sorry to interrupt can you wave at me?,0
Bring me to the science lab,0
Thanks for answering my question; could you go to the front desk?,0
thanks,1
Please face me,0
Greetings buddy! how are you?,1
Howdy robot! what should we talk about?,1
That's interesting can you move forward?,0
That's interesting can you face the door?,0
Good morning and then lead me to the cafeteria?,0
Can you explain gravity?,1
Give me a simple explanation of a support vector machine,1
Good morning robot! are you ready to chat?,1
Okay cool and then turn left?,0
Wow that was awesome — now turn right?,0
Do you know where the front desk is?,1
How are you? and then wave at me?,0
I have a quick favor please stop moving?,0
Good afternoon there! I hope you're doing well,1
Do you remember conversations?,1
Good afternoon robot! what should we talk about?,1
Can you explain supply and demand?,1
What happens in the counseling office?,1
Hi robot! it's nice to meet you,1
what do you like,1
Hello please guide me to the library?,0
Your answer was amazing,1
Can you describe the computer lab?,1
Can you tell me where the west entrance is?,1
You're really helpful — now raise your left arm?,0
Hello please take me to room 202?,0
How are you? but first face the door?,0
Hello! Now show me the way to the main office?,0
You're really helpful please raise your right arm?,0
What's up?; could you turn left?,0
How are you? — now turn right?,0
do you like robots,1
Good evening robot! how are you?,1
Hello please follow me?,0
I like talking to you please face the door?,0
Okay cool; could you walk with me to the auditorium?,0
extend your right arm,0
Do you like summer?,1
Long time no see,1
my bad,1
Woah you're cool; could you follow me?,0
Good morning and then spin around?,0
