text,navigation,simple_action
Explain what a robot is.,0,0
"After you spin around, bring me to the science lab.",1,1
Let me think about that.,0,0
Could you clap for me?,0,1
"I need to get to the gym. Also, please tilt your head.",1,1
Why do robots use cameras?,0,0
I am testing the chat system.,0,0
Show me how you blink your lights.,0,1
Can you bring me to the computer lab?,1,0
Which way is room 102?,1,0
"Okay, I got it.",0,0
Can you raise your right arm and guide me to the elevator?,1,1
Can you look right?,0,1
What does recall mean?,0,0
What food is usually served in a cafeteria?,0,0
What is exact-match accuracy?,0,0
What is multi-label classification?,0,0
Is logistic regression fast?,0,0
Can you explain photosynthesis?,0,0
Please navigate to the science lab.,1,0
Turn in a circle.,0,1
Please speak a little more slowly.,0,0
Nice to meet you.,0,0
Can you spin around?,0,1
How old are robots?,0,0
"Let's go to the courtyard, but first stand still.",1,1
What happens in a science lab?,0,0
Python dictionaries are useful.,0,0
I understand the architecture now.,0,0
Would you look up before escorting me to the stairs?,1,1
"Please lead me to the study hall; while we start, face me.",1,1
"Where is the conference room? Also, could you turn in a circle?",1,1
Who created you?,0,0
Why do we validate a model?,0,0
Go ahead and nod.,0,1
Would you point to your right before escorting me to the south exit?,1,1
Show me how you clap.,0,1
Could you show me where the library is and wave?,1,1
"Hey Belt, look right.",0,1
I need directions to the student center.,1,0
Can you answer a question?,0,0
Could you show me where the front desk is and give me a thumbs-up?,1,1
Can we head over to the main office?,1,0
Where is the reception area?,1,0
I would like a tour to room 203.,1,0
Go ahead and blink your lights.,0,1
"Tilt your head, then take me to the cafeteria.",1,1
I like computer science.,0,0
Would you salute?,0,1
Could you show me where the theater is?,1,0
Could you tilt your head for me?,0,1
"After you give me a thumbs-up, bring me to the computer lab.",1,1
Could you escort me to the counseling office?,1,0
Would you do a little celebration?,0,1
Raise your left arm.,0,1
"Please lead me to the counseling office; while we start, shake your head.",1,1
What is machine learning?,0,0
Take me to the computer lab.,1,0
Would you stand still before escorting me to the art room?,1,1
"I need to get to the cafeteria. Also, please look left.",1,1
"Before we continue, face me.",0,1
JSON is a text format.,0,0
"Blink your lights, then take me to the nearest bathroom.",1,1
Go ahead and raise your left arm.,0,1
I need directions to the robotics lab.,1,0
"I have two requests: clap, and take me to the science lab.",1,1
Thanks for helping me.,0,0
"Help me find the stairs, then lower your arm.",1,1
"Help me find room 203, then raise your right arm.",1,1
I need directions to the theater.,1,0
Can you bring me to room 102?,1,0
Point me toward the courtyard.,1,0
The weather is sunny.,0,0
What is an auditorium used for?,0,0
"Belt, please look up.",0,1
Could you look down for me?,0,1
Can you face me and guide me to the restroom?,1,1
"Belt, please wave.",0,1
Do you know the route to the courtyard? Please stand still too.,1,1
Walk with me to the counseling office.,1,0
Could you show me where the south exit is and give me a thumbs-up?,1,1
I am trying to reach the cafeteria.,1,0
"I need to get to the robotics lab. Also, please shake your head.",1,1
"Can we head to the computer lab? On the way, salute.",1,1
Your next action is to blink your lights.,0,1
Could you please salute now?,0,1
Your next action is to take one step backward.,0,1
"Belt, please point to your left.",0,1
Let's go to the science lab.,1,0
Go ahead and salute.,0,1
The robot speaker may use the app.,0,0
The extractor validates requests.,0,0
Where is the library?,1,0
