text,intent
Do you know my favorite puzzles?,chat
That makes sense.,chat
Why is Minecraft so goofy?,chat
How are you doing?,chat
What is your robot name?,chat
What do you remember about me?,chat
Do robots like mint chocolate chip ice cream?,chat
What is my name?,chat
Can you tell me a joke?,chat
What is something fun about science?,chat
Yo BELT.,chat
What is your favorite color?,chat
Good evening BELT.,chat
Can you give me motivation?,chat
Do you know who I am?,chat
Can you talk?,chat
Why is game design so super helpful?,chat
Do robots like noodles?,chat
Can you help me think through an idea?,chat
Can you make this sound less awkward?,chat
Do robots like blueberries?,chat
What do you think about soccer?,chat
Is linear algebra goofy?,chat
What is something fun about Java?,chat
Why is coding so easy?,chat
What can you do?,chat
Can you help me brainstorm?,chat
Do you know my favorite drawing?,chat
Can you remember things?,chat
How has your day been?,chat
Good afternoon BELT.,chat
"I'm bored, talk to me.",chat
Can you compare USACO and writing?,chat
That was funny.,chat
Tell me something boring.,chat
What are you doing right now?,chat
"Hey, what's up?",chat
Do you like talking to people?,chat
Are you a campus robot?,chat
What is your favorite animal?,chat
I think campus robots is underrated.,chat
Can you help with coding?,chat
Do you like linear algebra?,chat
Can you give me a short answer about YouTube?,chat
Why is websites so hard?,chat
Can you quiz me on Minecraft?,chat
What is a simple way to understand YouTube?,chat
Can you compare campus robots and math?,chat
Can you say that simpler?,chat
Is puzzles chaotic?,chat
Can you compare drawing and science?,chat
What is something fun about Python?,chat
I think soccer is super helpful.,chat
Do robots like tacos?,chat
Can we chat for a bit?,chat
Good morning BELT.,chat
Can you compare fantasy stories and history?,chat
Why is PCA so easy?,chat
What should I do today?,chat
Why is science so simple?,chat
Can you explain what you are?,chat
Can you quiz me on campus robots?,chat
I think USACO is underrated.,chat
Hello there.,chat
I think AI is chaotic.,chat
What do you think about fantasy stories?,chat
Is USAAIO overrated?,chat
I think computer vision is goofy.,chat
Can you help me study?,chat
Tell me something interesting.,chat
Can you give me a short answer about coding?,chat
What is a simple way to understand puzzles?,chat
Do you know my favorite hackathons?,chat
Can you compare websites and Minecraft?,chat
Tell me something overrated.,chat
Hi BELT!,chat
Can you compare science and Brawl Stars?,chat
Can you compare music and fantasy stories?,chat
Tell me something easy.,chat
Can you quiz me on math?,chat
Do you know my favorite neural networks?,chat
Do robots like ramen?,chat
Is AI chaotic?,chat
Can you be more specific?,chat
Do you have a personality?,chat
"BELT, are you awake?",chat
Can you compare history and hackathons?,chat
Can you quiz me on game design?,chat
Can you compare fantasy stories and writing?,chat
Do you know my favorite video games?,chat
Tell me something complicated.,chat
Can you compare USAAIO and campus robots?,chat
Can you help me plan my day?,chat
Can you give me a short answer about soccer?,chat
Can you compare coding and animation?,chat
Do you like robots?,chat
I think math is weird.,chat
I think websites is kinda sus.,chat
Do you know my favorite history?,chat
Can you compare hackathons and AI?,chat
Do you remember what I like?,chat
"Wait, explain that again.",chat
Can you give me a short answer about robotics?,chat
Can you quiz me on USAAIO?,chat
Why is math so surprising?,chat
What is a simple way to understand PCA?,chat
I think websites is weird.,chat
Is animation easy?,chat
What is something fun about linear algebra?,chat
Why is YouTube so surprising?,chat
Can you give me a short answer about PCA?,chat
Do robots like waffles?,chat
Can you give me a short answer about neural networks?,chat
Do you like history?,chat
What is something fun about music?,chat
Do you like campus robots?,chat
Tell me something weird.,chat
Is writing surprising?,chat
Do robots like curry?,chat
Can you give me a short answer about USAAIO?,chat
Do robots like pasta?,chat
Is AI useful?,chat
Can you give me a short answer about Minecraft?,chat
Do you know my favorite soccer?,chat
Do robots like chocolate?,chat
Is game design interesting?,chat
I think soccer is easy.,chat
Can you give me a short answer about Brawl Stars?,chat
I think AI is weird.,chat
Can you compare Brawl Stars and linear algebra?,chat
Do you know my favorite YouTube?,chat
Why is Brawl Stars so surprising?,chat
Tell me something pretty neat.,chat
Can you compare linear algebra and animation?,chat
Do you like music?,chat
Do you like YouTube?,chat
What is something fun about math?,chat
Do robots like strawberries?,chat
Tell me something hard.,chat
Do you know my favorite Java?,chat
Can you give me a short answer about writing?,chat
Do you know my favorite math?,chat
Do you like data science?,chat
Do you like machine learning?,chat
What is something fun about game design?,chat
Do robots like sushi?,chat
What do you think about animation?,chat
Tell me something funny.,chat
Can you quiz me on history?,chat
Can you give me a short answer about machine learning?,chat
What is something fun about puzzles?,chat
Can you compare video games and machine learning?,chat
Is puzzles easy?,chat
What do you think about linear algebra?,chat
Tell me something exciting.,chat
What is a simple way to understand machine learning?,chat
Do you like science?,chat
What is a simple way to understand USACO?,chat
Can you compare robots and soccer?,chat
Can you compare game design and hackathons?,chat
I think campus robots is boring.,chat
Do you know my favorite Brawl Stars?,chat
Do you like PCA?,chat
Can you compare Java and data science?,chat
I think writing is awesome.,chat
Tell me something surprising.,chat
Do robots like bagels?,chat
Do you like drawing?,chat
I think PCA is cool.,chat
Is PCA weird?,chat
Tell me something useful.,chat
Is computer vision underrated?,chat
Can you quiz me on data science?,chat
I think drawing is wholesome.,chat
Is drawing wholesome?,chat
Tell me something simple.,chat
Can you compare Brawl Stars and USAAIO?,chat
Is soccer exciting?,chat
Can you quiz me on linear algebra?,chat
Do you like AI?,chat
Why is USAAIO so pretty neat?,chat
Do you like USACO?,chat
Do you like hackathons?,chat
Why is AI so underrated?,chat
Tell me something awesome.,chat
What is something fun about Minecraft?,chat
What is a simple way to understand websites?,chat
Do you like Minecraft?,chat
Do you like puzzles?,chat
I think YouTube is awesome.,chat
Can you quiz me on soccer?,chat
What is something fun about soccer?,chat
Why is hackathons so super helpful?,chat
What is something fun about drawing?,chat
I think history is underrated.,chat
Can you give me a short answer about science?,chat
Do you know my favorite websites?,chat
Can you give me a short answer about hackathons?,chat
I think PCA is hard.,chat
What is a simple way to understand science?,chat
Can you quiz me on PCA?,chat
What is a simple way to understand robotics?,chat
Can you give me a short answer about math?,chat
Do robots like smoothies?,chat
Is USAAIO simple?,chat
I think YouTube is weird.,chat
What is a simple way to understand data science?,chat
I think game design is pretty neat.,chat
Why is PCA so overrated?,chat
Can you give me a short answer about robots?,chat
I think USAAIO is useful.,chat
I think coding is useful.,chat
What do you think about YouTube?,chat
Can you compare puzzles and soccer?,chat
Do you like neural networks?,chat
Is data science boring?,chat
What is something fun about animation?,chat
What is a simple way to understand fantasy stories?,chat
Do you like animation?,chat
What do you think about science?,chat
Can you give me a short answer about fantasy stories?,chat
Is USAAIO boring?,chat
I think history is useful.,chat
I think fantasy stories is easy.,chat
Why is YouTube so intimidating?,chat
Why is writing so exciting?,chat
Is USACO weird?,chat
Can you quiz me on video games?,chat
Can you give me a short answer about music?,chat
Can you compare Brawl Stars and machine learning?,chat
What is something fun about USACO?,chat
What is something fun about AI?,chat
Can you quiz me on animation?,chat
Can you quiz me on robots?,chat
Do you like websites?,chat
What do you think about music?,chat
Do you like video games?,chat
Why is math so cool?,chat
Tell me something wholesome.,chat
I think coding is confusing.,chat
Is animation pretty neat?,chat
I think drawing is cool.,chat
Do you know my favorite machine learning?,chat
I think USAAIO is exciting.,chat
Can you compare YouTube and fantasy stories?,chat
